Korean,English,Pronunciation
내가,I,naega
그,that,geu
난,I am,nan
내,my,nae
안,not,an
수,number,su
이,this,i
네,yes,ne
거야,going to be,geoya
좀,a little,jom
그래,okay,geulae
있어,there is,iss-eo
왜,why,wae
더,more,deo
그리고,and,geuligo
우리,we,uli
다,all,da
무슨,what,museun
한,one,han
하지만,but,hajiman
잘,well,jal
어떻게,how,eotteohge
할,will do,hal
그냥,just,geunyang
정말,really,jeongmal
그럼,then,geuleom
것,thing,geos
게,crab,ge
있어요,there is,iss-eoyo
있는,there is,issneun
해,sun,hae
여기,here,yeogi
넌,you,neon
제가,I am,jega
날,me,nal
우리가 , we,uliga
건,case,geon
전,jeon,jeon
이제,now,ije
지금,now,jigeum
그게,that is,geuge
걸,girl,geol
거,thing,geo
아니,no,ani
네가,you,nega
없어,doesn't exist,eobs-eo
돼,Okay,dwae
저,I,jeo
우린,we,ulin
제,my,je
못,pond,mos
좋아,good,joh-a
당신이,you,dangsin-i
다른,different,daleun
나,me,na
그런,that,geuleon
그건,that,geugeon
너무,too,neomu
그래서,so,geulaeseo
그렇게,like that,geuleohge
다시,again,dasi
이건,This,igeon
이런,this,ileon
나도,me too,nado
모든,every,modeun
당신,you,dangsin
거예요,Will,geoyeyo
당신은,you are,dangsin-eun
아,ah,a
좋은,good,joh-eun
오,oh,o
때,at the time,ttae
너,you,neo
하는,doing,haneun
하고,do,hago
아냐 , no,anya
나는,I am,naneun
아니야,no,aniya
알아,know, al-a
같이,together,gat-i
응,huh,eung
이게,this,ige
없어요,no,eobs-eoyo
괜찮아,are you okay,gwaenchanh-a
오늘,today,oneul
말이야,I mean,mal-iya
줄,line,jul
또,also,tto
널,you,neol
누가,who,nuga
어떤,which,eotteon
아주,very,aju
말,word,mal
아직,yet,ajig
안돼,no,andwae
진짜,really,jinjja
모두,every,modu
마,mind,ma
같은,same,gat-eun
여기서 ,here,yeogiseo